"","sps","mean","sps2","se"
"1","CNAT",14.743730210973,"CNAT",1.08382390364661
"2","DLAB",15.5266203703333,"DLAB",2.59821425642065
"3","DSTO",13.0126240225135,"DSTO",0.921189761112742
"4","MCAV",6.48086760195238,"MCAV",1.66700229152212
"5","OANN",4.14644167563636,"OANN",0.495221160648674
"6","OFAV",3.0698353015,"OFAV",0.669669974561815
"7","PCLI",2.737088921,"PCLI",0
"8","PSTR",14.5111617886429,"PSTR",1.7270075759394
"9","SBOU",8.42743146475,"SBOU",3.14575995934768
"10","SINT",2.70730161918182,"SINT",0.392651176870537
"11","SSID",2.70175778433333,"SSID",0.593305500308468
